positionX,positionY,start,end
1,1,20240418 15:54:00,20240418 15:55:00
1,2,20240418 15:55:30,20240418 15:56:30
1,3,20240418 15:56:50,20240418 15:57:50
1,4,20240418 15:58:10,20240418 15:59:10
1,5,20240418 15:59:30,20240418 16:00:30
1,6,20240418 16:00:50,20240418 16:01:50
1,7,20240418 16:02:10,20240418 16:03:10
1,8,20240418 16:03:30,20240418 16:04:30
1,9,20240418 16:04:50,20240418 16:05:50
1,10,20240418 16:06:10,20240418 16:07:10
6,1,20240418 16:08:20,20240418 16:09:20
6,2,20240418 16:56:50,20240418 16:57:50
6,3,20240418 16:58:10,20240418 16:59:10
6,4,20240418 17:04:00,20240418 17:05:00
6,5,20240418 17:05:40,20240418 17:06:40
6,6,20240418 17:07:00,20240418 17:08:00
6,7,20240418 17:08:20,20240418 17:09:20
6,8,20240418 17:09:40,20240418 17:10:40
6,9,20240418 17:11:00,20240418 17:12:00
6,10,20240418 17:12:20,20240418 17:13:20
11,1,20240418 17:38:50,20240418 17:39:50
11,2,20240418 17:40:10,20240418 17:41:10
11,3,20240418 17:41:30,20240418 17:42:30
11,4,20240418 17:42:50,20240418 17:43:50
11,5,20240418 17:44:10,20240418 17:45:10
11,6,20240418 17:45:30,20240418 17:46:30
11,7,20240418 17:46:50,20240418 17:47:50
11,8,20240418 17:48:10,20240418 17:49:10
11,9,20240418 17:49:30,20240418 17:50:30
11,10,20240418 17:50:50,20240418 17:51:50
1,11,20240418 17:52:30,20240418 17:53:30
2,11,20240418 17:53:50,20240418 17:54:50
3,11,20240418 17:55:10,20240418 17:56:10
4,11,20240418 17:56:30,20240418 17:57:30
5,11,20240418 17:57:50,20240418 17:58:50
6,11,20240418 17:59:10,20240418 18:00:10
7,11,20240418 18:00:30,20240418 18:01:30
8,11,20240418 18:01:50,20240418 18:02:50
9,11,20240418 18:03:10,20240418 18:04:10
10,11,20240418 18:04:30,20240418 18:05:30
11,11,20240418 18:05:50,20240418 18:06:50
