Bin Edges,dd,ee,ff
0,0,0,0
0.1,0.175,0.5,0.7
0.2,0.175,0.5,0.7
0.3,0.175,0.5,0.7
0.4,0.175,0.5,0.7
0.5,0.25,0.7,0.875
0.6,0.25,0.7,0.875
0.7,0.25,0.7,0.875
0.8,0.275,0.725,0.9
0.9,0.275,0.725,0.9
1,0.275,0.725,0.9
1.1,0.45,0.875,0.975
1.2,0.45,0.875,0.975
1.3,0.575,0.875,0.975
1.4,0.575,0.875,0.975
1.5,0.575,0.875,0.975
1.6,0.575,0.875,0.975
1.7,0.575,0.875,0.975
1.8,0.7,0.925,0.975
1.9,0.7,0.925,0.975
2,0.7,0.925,0.975
2.1,0.7,0.95,0.975
2.2,0.7,0.95,0.975
2.3,0.725,0.95,0.975
2.4,0.75,0.95,0.975
2.5,0.75,0.95,0.975
2.6,0.75,0.95,0.975
2.7,0.75,0.95,0.975
2.8,0.75,0.95,0.975
2.9,0.75,0.95,0.975
3,0.775,0.975,1
3.1,0.775,0.975,1
3.2,0.8,0.975,1
3.3,0.825,1,1
3.4,0.825,1,1
3.5,0.825,1,1
3.6,0.9,1,1
3.7,0.925,1,1
3.8,0.925,1,1
3.9,0.925,1,1
4,1,1,1
4.1,1,1,1
4.2,1,1,1
4.3,1,1,1
4.4,1,1,1
4.5,1,1,1
4.6,1,1,1
4.7,1,1,1
4.8,1,1,1
4.9,1,1,1
