Time,UUID,RSSI,,52,11,1,21
20240312 15:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,,55,11,1,21
20240312 15:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,,59,11,1,21
20240312 15:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70,,3,11,4,24
20240312 15:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,7,11,11,41
20240312 15:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,15,6,5,15
20240312 15:22:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-83,,19,6,1,11
20240312 15:22:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60,,,,,
20240312 15:22:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,,48,6,1,11
20240312 15:22:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,,52,6,1,11
20240312 15:22:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,,56,6,5,15
20240312 15:22:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73,,0,6,11,36
20240312 15:22:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,4,1,11,31
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,,8,1,5,5
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61,,12,1,1,1
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-64,,16,1,1,1
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-64,,,,,
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,,,,,
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,,,,,
20240312 15:22:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-62,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-67,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73,,,,,
20240312 15:23:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,,,,,
20240312 15:23:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-55,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78,,,,,
20240312 15:23:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-80,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-55,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-75,,,,,
20240312 15:23:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-42,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-69,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-79,,,,,
20240312 15:23:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-81,,,,,
