Time,UUID,RSSI,,29,11,1,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,33,11,7,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56,,37,9,11,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,,41,6,11,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-69,,45,6,5,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71,,49,6,1,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,53,6,1,
20240312 14:48:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,,,,,
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54,,,,,
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,47,6,1,11
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-61,,51,6,8,18
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-65,,55,3,11,33
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71,,59,1,8,8
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71,,3,1,1,1
20240312 14:48:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,7,1,1,1
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-49,,11,1,1,1
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,,,,
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,,,,,
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,,,,,
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-69,,,,,
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75,,,,,
20240312 14:48:55,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-50,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70,,,,,
20240312 14:48:59,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-57,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-68,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,,,,,
20240312 14:49:03,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-57,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-76,,,,,
20240312 14:49:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-45,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-70,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-71,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74,,,,,
20240312 14:49:11,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74,,,,,
