Bin Start,Bin End,Count Data 1,Count Data 2
-89.0,-88.4,1.0,2.0
-88.4,-87.8,6.0,7.0
-87.8,-87.2,0.0,0.0
-87.2,-86.6,4.0,1.0
-86.6,-86.0,5.0,0.0
-86.0,-85.4,0.0,3.0
-85.4,-84.8,1.0,8.0
-84.8,-84.2,3.0,0.0
-84.2,-83.6,0.0,14.0
-83.6,-83.0,1.0,0.0
-83.0,-82.4,0.0,12.0
-82.4,-81.8,0.0,2.0
-81.8,-81.2,7.0,0.0
-81.2,-80.6,5.0,7.0
-80.6,-80.0,0.0,0.0
-80.0,-79.4,28.0,6.0
-79.4,-78.8,9.0,5.0
-78.8,-78.2,0.0,0.0
-78.2,-77.6,3.0,5.0
-77.6,-77.0,0.0,0.0
-77.0,-76.4,9.0,3.0
-76.4,-75.8,27.0,7.0
-75.8,-75.2,0.0,0.0
-75.2,-74.6,33.0,10.0
-74.6,-74.0,8.0,0.0
-74.0,-73.4,0.0,4.0
-73.4,-72.8,9.0,12.0
-72.8,-72.2,11.0,0.0
-72.2,-71.6,0.0,1.0
-71.6,-71.0,14.0,0.0
-71.0,-70.4,5.0,1.0
-70.4,-69.8,0.0,15.0
-69.8,-69.2,7.0,0.0
-69.2,-68.6,7.0,18.0
-68.6,-68.0,0.0,0.0
-68.0,-67.4,10.0,6.0
-67.4,-66.8,16.0,11.0
-66.8,-66.2,0.0,0.0
-66.2,-65.6,7.0,7.0
-65.6,-65.0,0.0,0.0
-65.0,-64.4,12.0,3.0
-64.4,-63.8,14.0,8.0
-63.8,-63.2,0.0,0.0
-63.2,-62.6,10.0,0.0
-62.6,-62.0,6.0,0.0
-62.0,-61.400000000000006,0.0,2.0
-61.400000000000006,-60.8,1.0,0.0
-60.8,-60.2,5.0,0.0
-60.2,-59.6,0.0,6.0
-59.6,-59.0,0.0,0.0
-59.0,-58.400000000000006,9.0,24.0
-58.400000000000006,-57.8,0.0,8.0
-57.8,-57.2,4.0,0.0
-57.2,-56.6,1.0,22.0
-56.6,-56.0,0.0,0.0
-56.0,-55.4,9.0,19.0
-55.4,-54.800000000000004,4.0,2.0
-54.800000000000004,-54.2,0.0,0.0
-54.2,-53.6,2.0,0.0
-53.6,-53.0,5.0,2.0
