Bin Start,Bin End,Domain 1,Domain 2,,,,,,,,Bin End,Domain 2
-89,-88.4,1,2,,,,,,,,-88.4,2
-88.4,-87.8,6,7,,,,,,,,-87.8,7
-87.8,-87.2,0,0,,,,,,,,-87.2,0
-87.2,-86.6,4,1,,,,,,,,-86.6,1
-86.6,-86,5,0,,,,,,,,-86,0
-86,-85.4,0,3,,,,,,,,-85.4,3
-85.4,-84.8,1,8,,,,,,,,-84.8,8
-84.8,-84.2,3,0,,,,,,,,-84.2,0
-84.2,-83.6,0,14,,,,,,,,-83.6,14
-83.6,-83,1,0,,,,,,,,-83,0
-83,-82.4,0,12,,,,,,,,-82.4,12
-82.4,-81.8,0,2,,,,,,,,-81.8,2
-81.8,-81.2,7,0,,,,,,,,-81.2,0
-81.2,-80.6,5,7,,,,,,,,-80.6,7
-80.6,-80,0,0,,,,,,,,-80,0
-80,-79.4,28,6,,,,,,,,-79.4,6
-79.4,-78.8,9,5,,,,,,,,-78.8,5
-78.8,-78.2,0,0,,,,,,,,-78.2,0
-78.2,-77.6,3,5,,,,,,,,-77.6,5
-77.6,-77,0,0,,,,,,,,-77,0
-77,-76.4,9,3,,,,,,,,-76.4,3
-76.4,-75.8,27,7,,,,,,,,-75.8,7
-75.8,-75.2,0,0,,,,,,,,-75.2,0
-75.2,-74.6,33,10,,,,,,,,-74.6,10
-74.6,-74,8,0,,,,,,,,-74,0
-74,-73.4,0,4,,,,,,,,-73.4,4
-73.4,-72.8,9,12,,,,,,,,-72.8,12
-72.8,-72.2,11,0,,,,,,,,-72.2,0
-72.2,-71.6,0,1,,,,,,,,-71.6,1
-71.6,-71,14,0,,,,,,,,-71,0
-71,-70.4,5,1,,,,,,,,-70.4,1
-70.4,-69.8,0,15,,,,,,,,-69.8,15
-69.8,-69.2,7,0,,,,,,,,-69.2,0
-69.2,-68.6,7,18,,,,,,,,-68.6,18
-68.6,-68,0,0,,,,,,,,-68,0
-68,-67.4,10,6,,,,,,,,-67.4,6
-67.4,-66.8,16,11,,,,,,,,-66.8,11
-66.8,-66.2,0,0,,,,,,,,-66.2,0
-66.2,-65.6,7,7,,,,,,,,-65.6,7
-65.6,-65,0,0,,,,,,,,-65,0
-65,-64.4,12,3,,,,,,,,-64.4,3
-64.4,-63.8,14,8,,,,,,,,-63.8,8
-63.8,-63.2,0,0,,,,,,,,-63.2,0
-63.2,-62.6,10,0,,,,,,,,-62.6,0
-62.6,-62,6,0,,,,,,,,-62,0
-62,-61.4,0,2,,,,,,,,-61.4,2
-61.4,-60.8,1,0,,,,,,,,-60.8,0
-60.8,-60.2,5,0,,,,,,,,-60.2,0
-60.2,-59.6,0,6,,,,,,,,-59.6,6
-59.6,-59,0,0,,,,,,,,-59,0
-59,-58.4,9,24,,,,,,,,-58.4,24
-58.4,-57.8,0,8,,,,,,,,-57.8,8
-57.8,-57.2,4,0,,,,,,,,-57.2,0
-57.2,-56.6,1,22,,,,,,,,-56.6,22
-56.6,-56,0,0,,,,,,,,-56,0
-56,-55.4,9,19,,,,,,,,-55.4,19
-55.4,-54.8,4,2,,,,,,,,-54.8,2
-54.8,-54.2,0,0,,,,,,,,-54.2,0
-54.2,-53.6,2,0,,,,,,,,-53.6,0
-53.6,-53,5,2,,,,,,,,-53,2
